日期,星期,最高温度,最低温度,天气,风向,城市
2022-05-03, 星期二 ,26℃,16℃,阴,东风 2级,南昌
2022-05-04, 星期三 ,16℃,5℃,多云,东南风 4级,南昌
2022-05-05, 星期四 ,30℃,19℃,晴,东南风 1级,南昌
2022-05-06, 星期五 ,12℃,1℃,阴,西北风 4级,南昌
2022-05-07, 星期六 ,12℃,-1℃,晴,西北风 4级,南昌
2022-05-08, 星期日 ,25℃,21℃,小雨到中雨,东北风 2级,南昌
2022-05-09, 星期一 ,25℃,20℃,阴,东北风 2级,南昌
2022-05-10, 星期二 ,23℃,13℃,多云,西南风 2级,南昌
2022-05-11, 星期三 ,15℃,3℃,晴,西风 2级,南昌
2022-05-12, 星期四 ,23℃,19℃,小雨,北风 2级,南昌
2022-05-13, 星期五 ,24℃,18℃,多云,北风 2级,南昌
2022-05-14, 星期六 ,20℃,13℃,阴,西风 2级,南昌
2022-05-15, 星期日 ,24℃,15℃,多云,西南风 3级,南昌
2022-05-16, 星期一 ,24℃,16℃,多云,东风 2级,南昌
2022-05-17, 星期二 ,26℃,17℃,多云,东南风 1级,南昌
2022-05-18, 星期三 ,26℃,20℃,多云,北风 1级,南昌
2022-05-19, 星期四 ,25℃,19℃,多云,北风 2级,南昌
2022-05-20, 星期五 ,21℃,15℃,多云,西北风 1级,南昌
2022-05-21, 星期六 ,22℃,6℃,晴,西风 1级,南昌
2022-05-22, 星期日 ,31℃,18℃,晴,南风 3级,南昌
2022-05-23, 星期一 ,24℃,20℃,多云,南风 2级,南昌
2022-05-24, 星期二 ,21℃,7℃,多云,西北风 2级,南昌
2022-05-25, 星期三 ,16℃,9℃,阴,东风 2级,南昌
2022-05-26, 星期四 ,19℃,11℃,小雨,东风 2级,南昌
2022-05-27, 星期五 ,25℃,20℃,小雨,东风 1级,南昌
2022-05-28, 星期六 ,22℃,8℃,阴,西南风 3级,南昌
2022-05-29, 星期日 ,27℃,20℃,小雨,西南风 2级,南昌
2022-05-30, 星期一 ,18℃,7℃,小雨,西南风 2级,南昌
2022-05-31, 星期二 ,27℃,23℃,多云,西南风 1级,南昌
2022-06-01, 星期三 ,27℃,23℃,中雨到大雨,西南风 2级,南昌
2022-06-02, 星期四 ,36℃,23℃,多云,东南风 2级,南昌
2022-06-03, 星期五 ,28℃,23℃,小雨,南风 2级,南昌
2022-06-04, 星期六 ,29℃,24℃,小雨到大雨,南风 1级,南昌
2022-06-05, 星期日 ,28℃,22℃,多云,西北风 2级,南昌
2022-06-06, 星期一 ,20℃,7℃,多云,东风 2级,南昌
2022-06-07, 星期二 ,32℃,22℃,多云,东北风 3级,南昌
2022-06-08, 星期三 ,33℃,23℃,多云,东南风 2级,南昌
2022-06-09, 星期四 ,27℃,12℃,阴到小雨,东南风 3级,南昌
2022-06-10, 星期五 ,27℃,22℃,阴到小雨,东风 2级,南昌
2022-06-11, 星期六 ,26℃,21℃,多云,东南风 1级,南昌
2022-06-12, 星期日 ,24℃,22℃,小雨,东风 1级,南昌
2022-06-13, 星期一 ,26℃,21℃,小雨,北风 1级,南昌
2022-06-14, 星期二 ,31℃,20℃,多云,西南风 1级,南昌
2022-06-15, 星期三 ,25℃,13℃,小雨,东风 1级,南昌
2022-06-16, 星期四 ,29℃,23℃,多云,西南风 2级,南昌
2022-06-17, 星期五 ,38℃,25℃,晴,西南风 2级,南昌
2022-06-18, 星期六 ,27℃,23℃,小雨到大雨,南风 1级,南昌
2022-06-19, 星期日 ,27℃,24℃,中雨到大雨,南风 2级,南昌
2022-06-20, 星期一 ,29℃,24℃,多云,南风 1级,南昌
2022-06-21, 星期二 ,30℃,25℃,阴到小雨,南风 2级,南昌
2022-06-22, 星期三 ,29℃,25℃,多云,西南风 2级,南昌
2022-06-23, 星期四 ,34℃,27℃,多云,西南风 2级,南昌
2022-06-24, 星期五 ,34℃,27℃,多云,南风 2级,南昌
2022-06-25, 星期六 ,34℃,28℃,多云,西南风 2级,南昌
2022-06-26, 星期日 ,35℃,28℃,多云,西南风 2级,南昌
2022-06-27, 星期一 ,28℃,16℃,多云,东南风 1级,南昌
2022-06-28, 星期二 ,34℃,27℃,小雨到大雨,西风 4级,南昌
2022-06-29, 星期三 ,32℃,23℃,多云,东南风 2级,南昌
2022-06-30, 星期四 ,29℃,17℃,晴,东南风 3级,南昌
2022-07-01, 星期五 ,34℃,27℃,多云,东北风 2级,南昌
2022-07-02, 星期六 ,34℃,27℃,小雨,东风 2级,南昌
2022-07-03, 星期日 ,28℃,18℃,小雨,南风 2级,南昌
2022-07-04, 星期一 ,29℃,18℃,多云,东南风 1级,南昌
2022-07-05, 星期二 ,30℃,26℃,小雨到大雨,西南风 3级,南昌
2022-07-06, 星期三 ,29℃,20℃,小雨到中雨,东南风 3级,南昌
2022-07-07, 星期四 ,33℃,27℃,多云,西南风 2级,南昌
2022-07-08, 星期五 ,35℃,28℃,小雨,西南风 3级,南昌
2022-07-09, 星期六 ,35℃,28℃,多云,西南风 3级,南昌
2022-07-10, 星期日 ,37℃,28℃,晴,西南风 2级,南昌
2022-07-11, 星期一 ,38℃,29℃,多云,南风 1级,南昌
2022-07-12, 星期二 ,38℃,30℃,多云,西南风 3级,南昌
2022-07-13, 星期三 ,38℃,29℃,多云,西南风 3级,南昌
2022-07-14, 星期四 ,38℃,30℃,阴,西南风 2级,南昌
2022-07-15, 星期五 ,38℃,29℃,多云,西南风 2级,南昌
2022-07-16, 星期六 ,38℃,30℃,多云,西南风 2级,南昌
2022-07-17, 星期日 ,35℃,27℃,小雨,东南风 2级,南昌
2022-07-18, 星期一 ,31℃,27℃,阴,西南风 1级,南昌
2022-07-19, 星期二 ,30℃,27℃,多云,南风 2级,南昌
2022-07-20, 星期三 ,27℃,17℃,阴到小雨,西南风 1级,南昌
2022-07-21, 星期四 ,29℃,16℃,多云,东北风 1级,南昌
2022-07-22, 星期五 ,27℃,15℃,多云,东南风 1级,南昌
2022-07-23, 星期六 ,27℃,16℃,多云,东风 1级,南昌
2022-07-24, 星期日 ,31℃,23℃,晴,东南风 2级,南昌
2022-07-25, 星期一 ,26℃,16℃,多云,东风 1级,南昌
2022-07-26, 星期二 ,39℃,30℃,多云,南风 2级,南昌
2022-07-27, 星期三 ,33℃,19℃,多云,东南风 1级,南昌
2022-07-28, 星期四 ,30℃,22℃,晴,东北风 1级,南昌
2022-07-29, 星期五 ,34℃,26℃,阴,西北风 3级,南昌
2022-07-30, 星期六 ,35℃,28℃,多云,北风 1级,南昌
2022-07-31, 星期日 ,31℃,24℃,晴,东风 1级,南昌
2022-08-01, 星期一 ,36℃,29℃,多云,东风 2级,南昌
2022-08-02, 星期二 ,37℃,29℃,多云,北风 1级,南昌
2022-08-03, 星期三 ,35℃,29℃,多云,东南风 1级,南昌
2022-08-04, 星期四 ,36℃,29℃,晴,南风 2级,南昌
2022-08-05, 星期五 ,34℃,29℃,多云,西南风 2级,南昌
2022-08-06, 星期六 ,35℃,29℃,多云,西南风 3级,南昌
2022-08-07, 星期日 ,37℃,28℃,多云,南风 2级,南昌
2022-08-08, 星期一 ,36℃,28℃,晴,西风 4级,南昌
2022-08-09, 星期二 ,37℃,29℃,晴,西南风 2级,南昌
2022-08-10, 星期三 ,37℃,29℃,多云,西南风 2级,南昌
2022-08-11, 星期四 ,36℃,30℃,多云,南风 1级,南昌
2022-08-12, 星期五 ,37℃,30℃,多云,西风 2级,南昌
2022-08-13, 星期六 ,38℃,30℃,多云,西风 1级,南昌
2022-08-14, 星期日 ,37℃,30℃,多云,西南风 3级,南昌
2022-08-15, 星期一 ,38℃,31℃,多云,西南风 2级,南昌
2022-08-16, 星期二 ,38℃,30℃,多云,北风 1级,南昌
2022-08-17, 星期三 ,39℃,31℃,多云,西南风 2级,南昌
2022-08-18, 星期四 ,39℃,31℃,多云,南风 2级,南昌
2022-08-19, 星期五 ,38℃,31℃,多云,南风 3级,南昌
2022-08-20, 星期六 ,37℃,30℃,多云,东北风 2级,南昌
2022-08-21, 星期日 ,36℃,30℃,多云,西风 3级,南昌
2022-08-22, 星期一 ,38℃,31℃,晴,西北风 4级,南昌
2022-08-23, 星期二 ,39℃,30℃,多云,北风 3级,南昌
2022-08-24, 星期三 ,37℃,29℃,多云,北风 2级,南昌
2022-08-25, 星期四 ,37℃,29℃,多云,西南风 2级,南昌
2022-08-26, 星期五 ,36℃,29℃,多云,西南风 1级,南昌
2022-08-27, 星期六 ,38℃,28℃,多云,西风 1级,南昌
2022-08-28, 星期日 ,37℃,29℃,多云,东北风 2级,南昌
2022-08-29, 星期一 ,37℃,27℃,多云,南风 2级,南昌
2022-08-30, 星期二 ,33℃,25℃,多云,南风 1级,南昌
2022-08-31, 星期三 ,29℃,23℃,多云,北风 2级,南昌
2022-09-01, 星期四 ,26℃,23℃,多云,北风 3级,南昌
2022-09-02, 星期五 ,31℃,23℃,雾,南风 2级,南昌
2022-09-03, 星期六 ,28℃,24℃,多云,北风 3级,南昌
2022-09-04, 星期日 ,33℃,24℃,多云,北风 2级,南昌
2022-09-05, 星期一 ,34℃,25℃,晴,北风 2级,南昌
2022-09-06, 星期二 ,36℃,25℃,晴,东北风 1级,南昌
2022-09-07, 星期三 ,36℃,26℃,多云,北风 2级,南昌
2022-09-08, 星期四 ,35℃,25℃,多云,北风 3级,南昌
2022-09-09, 星期五 ,34℃,25℃,多云,西风 1级,南昌
2022-09-10, 星期六 ,33℃,24℃,多云,东北风 2级,南昌
2022-09-11, 星期日 ,33℃,24℃,多云,东北风 2级,南昌
2022-09-12, 星期一 ,34℃,24℃,晴,西南风 3级,南昌
2022-09-13, 星期二 ,32℃,24℃,晴,北风 3级,南昌
2022-09-14, 星期三 ,32℃,24℃,多云,东北风 2级,南昌
2022-09-15, 星期四 ,32℃,24℃,晴,东南风 2级,南昌
2022-09-16, 星期五 ,33℃,25℃,晴,西北风 1级,南昌
2022-09-17, 星期六 ,34℃,25℃,晴,东南风 2级,南昌
2022-09-18, 星期日 ,34℃,25℃,晴,北风 1级,南昌
2022-09-19, 星期一 ,34℃,23℃,晴,西北风 4级,南昌
2022-09-20, 星期二 ,30℃,23℃,多云,北风 2级,南昌
2022-09-21, 星期三 ,28℃,22℃,多云,西南风 2级,南昌
2022-09-22, 星期四 ,28℃,23℃,多云,北风 2级,南昌
2022-09-23, 星期五 ,30℃,22℃,多云,北风 2级,南昌
2022-09-24, 星期六 ,30℃,21℃,多云,东北风 3级,南昌
2022-09-25, 星期日 ,30℃,22℃,多云,北风 3级,南昌
2022-09-26, 星期一 ,32℃,23℃,晴,西南风 1级,南昌
2022-09-27, 星期二 ,33℃,24℃,晴,北风 2级,南昌
2022-09-28, 星期三 ,32℃,23℃,晴,北风 2级,南昌
2022-09-29, 星期四 ,33℃,25℃,晴,东南风 1级,南昌
2022-09-30, 星期五 ,36℃,27℃,晴,北风 2级,南昌
2022-10-01, 星期六 ,37℃,28℃,晴,西南风 1级,南昌
2022-10-02, 星期日 ,37℃,28℃,晴,西南风 1级,南昌
2022-10-03, 星期一 ,38℃,27℃,晴,西风 1级,南昌
2022-10-04, 星期二 ,33℃,19℃,多云,北风 3级,南昌
2022-10-05, 星期三 ,18℃,16℃,多云,北风 3级,南昌
2022-10-06, 星期四 ,16℃,15℃,小雨,北风 3级,南昌
2022-10-07, 星期五 ,15℃,14℃,多云,北风 2级,南昌
2022-10-08, 星期六 ,17℃,16℃,多云,北风 2级,南昌
2022-10-09, 星期日 ,21℃,13℃,小雨,北风 3级,南昌
2022-10-10, 星期一 ,21℃,12℃,晴,北风 2级,南昌
2022-10-11, 星期二 ,22℃,13℃,多云,北风 2级,南昌
2022-10-12, 星期三 ,23℃,14℃,晴,北风 2级,南昌
2022-10-13, 星期四 ,24℃,15℃,晴,西南风 1级,南昌
2022-10-14, 星期五 ,26℃,17℃,晴,北风 2级,南昌
2022-10-15, 星期六 ,26℃,17℃,晴,东南风 2级,南昌
2022-10-16, 星期日 ,27℃,18℃,晴,西北风 3级,南昌
2022-10-17, 星期一 ,25℃,14℃,多云,西风 2级,南昌
2022-10-18, 星期二 ,22℃,13℃,晴,西风 2级,南昌
2022-10-19, 星期三 ,23℃,14℃,晴,北风 1级,南昌
2022-10-20, 星期四 ,25℃,15℃,多云,北风 1级,南昌
2022-10-21, 星期五 ,28℃,18℃,晴,北风 1级,南昌
2022-10-22, 星期六 ,29℃,18℃,晴,东北风 2级,南昌
2022-10-23, 星期日 ,27℃,18℃,晴,北风 2级,南昌
2022-10-24, 星期一 ,25℃,18℃,多云,西南风 2级,南昌
2022-10-25, 星期二 ,23℃,18℃,多云,北风 2级,南昌
2022-10-26, 星期三 ,25℃,17℃,多云,北风 2级,南昌
2022-10-27, 星期四 ,20℃,17℃,小雨,北风 3级,南昌
2022-10-28, 星期五 ,18℃,16℃,小雨,北风 2级,南昌
2022-10-29, 星期六 ,21℃,15℃,多云,北风 2级,南昌
2022-10-30, 星期日 ,24℃,16℃,晴,北风 2级,南昌
2022-10-31, 星期一 ,24℃,16℃,晴,北风 2级,南昌
2022-11-01, 星期二 ,24℃,16℃,多云,西风 2级,南昌
2022-11-02, 星期三 ,25℃,17℃,晴,东北风 2级,南昌
2022-11-03, 星期四 ,21℃,17℃,多云,南风 1级,南昌
2022-11-04, 星期五 ,18℃,15℃,小雨,东北风 2级,南昌
2022-11-05, 星期六 ,21℃,14℃,晴,东北风 2级,南昌
2022-11-06, 星期日 ,20℃,14℃,多云,东南风 1级,南昌
2022-11-07, 星期一 ,25℃,16℃,晴,西北风 1级,南昌
2022-11-08, 星期二 ,26℃,17℃,晴,西风 1级,南昌
2022-11-09, 星期三 ,28℃,18℃,多云,西风 1级,南昌
2022-11-10, 星期四 ,30℃,19℃,晴,西风 1级,南昌
2022-11-11, 星期五 ,32℃,20℃,多云,东南风 1级,南昌
2022-11-12, 星期六 ,32℃,15℃,晴,东北风 1级,南昌
2022-11-13, 星期日 ,21℃,13℃,多云,东北风 2级,南昌
2022-11-14, 星期一 ,14℃,12℃,小雨,北风 2级,南昌
2022-11-15, 星期二 ,15℃,12℃,雾,东风 1级,南昌
2022-11-16, 星期三 ,15℃,12℃,小雨,西风 1级,南昌
2022-11-17, 星期四 ,15℃,14℃,多云,南风 1级,南昌
2022-11-18, 星期五 ,15℃,14℃,暴雨,东风 1级,南昌
2022-11-19, 星期六 ,18℃,14℃,雾,东北风 2级,南昌
2022-11-20, 星期日 ,21℃,15℃,雾,北风 1级,南昌
2022-11-21, 星期一 ,23℃,16℃,多云,东北风 1级,南昌
2022-11-22, 星期二 ,19℃,15℃,多云,北风 1级,南昌
2022-11-23, 星期三 ,21℃,14℃,多云,东北风 2级,南昌
2022-11-24, 星期四 ,21℃,15℃,雾,西南风 2级,南昌
2022-11-25, 星期五 ,20℃,15℃,雾,北风 1级,南昌
2022-11-26, 星期六 ,22℃,15℃,多云,东北风 1级,南昌
2022-11-27, 星期日 ,18℃,17℃,阴,东北风 2级,南昌
2022-11-28, 星期一 ,27℃,17℃,小雨到中雨,东北风 1级,南昌
2022-11-01, 星期二 ,24℃,16℃,多云,西风 2级,南昌
2022-11-02, 星期三 ,25℃,17℃,晴,东北风 2级,南昌
2022-11-03, 星期四 ,21℃,17℃,多云,南风 1级,南昌
2022-11-04, 星期五 ,18℃,15℃,小雨,东北风 2级,南昌
2022-11-05, 星期六 ,21℃,14℃,晴,东北风 2级,南昌
2022-11-06, 星期日 ,20℃,14℃,多云,东南风 1级,南昌
2022-11-07, 星期一 ,25℃,16℃,晴,西北风 1级,南昌
2022-11-08, 星期二 ,26℃,17℃,晴,西风 1级,南昌
2022-11-09, 星期三 ,28℃,18℃,多云,西风 1级,南昌
2022-11-10, 星期四 ,30℃,19℃,晴,西风 1级,南昌
2022-11-11, 星期五 ,32℃,20℃,多云,东南风 1级,南昌
2022-11-12, 星期六 ,32℃,15℃,晴,东北风 1级,南昌
2022-11-13, 星期日 ,21℃,13℃,多云,东北风 2级,南昌
2022-11-14, 星期一 ,14℃,12℃,小雨,北风 2级,南昌
2022-11-15, 星期二 ,15℃,12℃,雾,东风 1级,南昌
2022-11-16, 星期三 ,15℃,12℃,小雨,西风 1级,南昌
2022-11-17, 星期四 ,15℃,14℃,多云,南风 1级,南昌
2022-11-18, 星期五 ,15℃,14℃,暴雨,东风 1级,南昌
2022-11-19, 星期六 ,18℃,14℃,雾,东北风 2级,南昌
2022-11-20, 星期日 ,21℃,15℃,雾,北风 1级,南昌
2022-11-21, 星期一 ,23℃,16℃,多云,东北风 1级,南昌
2022-11-22, 星期二 ,19℃,15℃,多云,北风 1级,南昌
2022-11-23, 星期三 ,21℃,14℃,多云,东北风 2级,南昌
2022-11-24, 星期四 ,21℃,15℃,雾,西南风 2级,南昌
2022-11-25, 星期五 ,20℃,15℃,雾,北风 1级,南昌
2022-11-26, 星期六 ,22℃,15℃,多云,东北风 1级,南昌
2022-11-27, 星期日 ,18℃,17℃,阴,东北风 2级,南昌
2022-11-28, 星期一 ,27℃,17℃,小雨到中雨,东北风 1级,南昌
2022-01-01, 星期六 ,14℃,2℃,多云,北风 2级,九江
2022-01-02, 星期日 ,12℃,2℃,晴,东南风 1级,九江
2022-01-03, 星期一 ,14℃,2℃,多云,西南风 2级,九江
2022-01-04, 星期二 ,1℃,0℃,小雪,东北风 1级,九江
2022-01-05, 星期三 ,3℃,0℃,小雪,东北风 1级,九江
2022-01-06, 星期四 ,6℃,0℃,阴,西北风 2级,九江
2022-01-07, 星期五 ,9℃,4℃,阴,北风 3级,九江
2022-01-08, 星期六 ,7℃,-1℃,阴,西南风 2级,九江
2022-01-09, 星期日 ,8℃,4℃,阴,北风 2级,九江
2022-01-10, 星期一 ,9℃,3℃,多云,西北风 2级,九江
2022-01-11, 星期二 ,9℃,1℃,晴,东南风 1级,九江
2022-01-12, 星期三 ,5℃,-3℃,霾,东北风 3级,九江
2022-01-13, 星期四 ,7℃,1℃,多云,南风 1级,九江
2022-01-14, 星期五 ,4℃,0℃,多云,北风 2级,九江
2022-01-15, 星期六 ,10℃,2℃,多云,西北风 1级,九江
2022-01-16, 星期日 ,11℃,5℃,小雨,北风 1级,九江
2022-01-17, 星期一 ,11℃,5℃,阴,东北风 2级,九江
2022-01-18, 星期二 ,9℃,0℃,晴,西南风 2级,九江
2022-01-19, 星期三 ,14℃,5℃,多云,东北风 2级,九江
2022-01-20, 星期四 ,8℃,5℃,阴,东北风 4级,九江
2022-01-21, 星期五 ,1℃,-1℃,小雪,东北风 2级,九江
2022-01-22, 星期六 ,7℃,6℃,小雨,东北风 3级,九江
2022-01-23, 星期日 ,0℃,-2℃,小雪,北风 3级,九江
2022-01-24, 星期一 ,3℃,-2℃,阴,北风 2级,九江
2022-01-25, 星期二 ,6℃,-2℃,阴,南风 2级,九江
2022-01-26, 星期三 ,2℃,0℃,多云,东北风 2级,九江
2022-01-27, 星期四 ,4℃,2℃,小雪,东北风 4级,九江
2022-01-28, 星期五 ,3℃,-1℃,小雪,东北风 3级,九江
